Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,created_at,exclusion_reasons
turtlebot3_autorace,ROBOTIS-GIT,Autonomous Driving with TurtleBot3,https://github.com/ROBOTIS-GIT/turtlebot3_autorace,22708,105,57,0,dynamixel;gazebo;mobile;navigation;opencv;package;perception;robot;robotis;ros;slam;turtlebot;turtlebot3,Apache-2.0,True,True,False,False,False,False,,5,113,2018-03-14T00:07:16Z,1,201,0,other,Organization,22708,18,105,Python;CMake,0,21,23,0,46,0.7,188.13,1.18,0.05,0.59,1.09,2.54,0.89,0.0,96,ROBOTIS-GIT/turtlebot3_autorace,humble|jazzy|kilted,2018-03-14T00:07:16Z,inactive_6mo
turtlebot3_simulations,ROBOTIS-GIT,Simulations for TurtleBot3,https://github.com/ROBOTIS-GIT/turtlebot3_simulations,43450,465,527,4,dynamixel;gazebo;mobile;navigation;opencv;package;perception;robot;robotis;ros;slam;turtlebot;turtlebot3,Apache-2.0,True,True,False,False,False,False,,16,383,2017-04-27T07:15:12Z,23,2196,0,config,Organization,43450,18,465,C++;Python;CMake,1,113,145,3,100,79.27,333.72,3.58,0.19,4.93,4.35,2.74,0.91,0.0,107,ROBOTIS-GIT/turtlebot3_simulations,humble|jazzy|kilted,2017-04-27T07:10:46Z,inactive_6mo
ublox,KumarRobotics,A driver for ublox gps,https://github.com/KumarRobotics/ublox,1000,519,432,112,gps;ros;ros-driver;ublox;ublox-gps,BSD-3-Clause,True,False,False,False,False,False,,21,286,2014-06-23T04:20:34Z,55,2973,0,code,Organization,1000,60,519,C++;C;CMake;Python,8,76,94,104,65,105.57,202.59,2.03,0.19,3.06,3.68,28.0,0.0,0.0,141,KumarRobotics/ublox,humble|jazzy|kilted,2014-06-23T04:19:43Z,inactive_6mo
aruco_ros,pal-robotics,Software package and ROS wrappers of the Aruco Augmented Reality marker detector library,https://github.com/pal-robotics/aruco_ros,1160,572,339,34,aruco;aruco-detector;aruco-library;aruco-marker-detection;aruco-ros;fiducial-marker;fiducial-marker-detector;robot;robotics;ros,MIT,True,False,False,False,False,False,,19,196,2014-02-06T11:12:59Z,1,4,0,docs,Organization,1160,13,572,C++;Python;CMake;C,11,32,39,23,76,9.24,181.08,1.35,0.19,2.34,3.94,2.88,0.0,0.0,145,pal-robotics/aruco_ros,humble|jazzy|kilted,2014-02-06T11:12:58Z,inactive_6mo
automotive_autonomy_msgs,astuff,A set of ROS messages for automation of mobile platforms.,https://github.com/astuff/automotive_autonomy_msgs,150,19,10,2,automation;automotive;generic-messages;ros;ros-messages;ros-packages;ros2,MIT,True,False,False,False,False,True,good first issue,7,143,2016-10-14T13:59:22Z,21,309,0,config,Organization,150,3,19,CMake,0,19,19,2,11,6.39,15.62,1.4,0.12,0.1,0.19,0.69,0.0,0.0,102,astuff/automotive_autonomy_msgs,humble|jazzy|kilted,2017-09-13T16:32:19Z,inactive_6mo
axis_camera,ros-drivers,"Contains basic Python drivers for accessing an Axis camera's MJPG stream. Also provides control for PTZ cameras. ",https://github.com/ros-drivers/axis_camera,703,58,78,23,,BSD-3-Clause,True,False,False,False,False,False,,13,122,2012-10-03T19:23:35Z,8,316,0,config,Organization,703,25,58,Python;CMake,2,40,47,21,25,147.42,466.17,0.76,0.14,0.48,0.36,6.58,0.0,0.0,161,ros-drivers/axis_camera,humble|jazzy,2012-10-03T19:22:33Z,inactive_6mo
cascade_lifecycle,fmrico,"Managed nodes (or lifecycle nodes, LN) package provides a mechanism to create LifecycleNode activation trees",https://github.com/fmrico/cascade_lifecycle,133,81,13,2,,Apache-2.0,True,False,False,False,False,True,good first issue,3,130,2020-03-12T11:44:21Z,1,1,0,docs,User,133,4,81,C++;Python;CMake,1,14,17,1,2,3.72,18.81,1.81,0.06,0.18,1.12,3.69,0.0,0.0,72,fmrico/cascade_lifecycle,humble|jazzy|kilted,2020-03-12T11:44:12Z,inactive_6mo
puma_motor_driver,clearpathrobotics,ROS driver for the Puma motor driver.,https://github.com/clearpathrobotics/puma_motor_driver,257,5,12,0,,,True,False,False,False,False,False,,5,112,2015-02-12T12:14:54Z,2,124,0,config,Organization,257,42,5,C++;CMake;Python,0,16,21,0,1,88.37,0.54,0.84,0.04,0.09,0.04,0.14,0.0,0.0,133,clearpathrobotics/puma_motor_driver,humble,2015-02-12T22:14:23Z,inactive_6mo
ecl_tools,stonier,Tools and utilities for the embedded control libraries.,https://github.com/stonier/ecl_tools,129,1,16,2,cmake;cpp,Other,True,False,False,False,False,False,,3,84,2012-11-17T12:44:04Z,2,17,0,config,User,129,0,1,CMake;C++,2,4,8,0,3,9.99,481.91,0.53,0.02,0.1,0.01,0.36,0.0,0.0,160,stonier/ecl_tools,humble|jazzy|kilted,2012-11-17T12:44:04Z,inactive_6mo
geographic_info,ros-geographic-info,ROS packages for geographic information,https://github.com/ros-geographic-info/geographic_info,325,77,67,11,,,True,False,False,False,False,False,,12,218,2011-06-21T20:33:24Z,13,124,0,config,Organization,325,13,77,C++;Python;CMake,3,31,37,8,13,72.77,198.52,1.39,0.08,0.43,0.49,0.36,0.0,0.0,157,ros-geographic-info/geographic_info,humble|jazzy|kilted,2013-02-19T02:04:35Z,inactive_6mo
